M,N,K,Kernel,Threads,PR,PC,SerialTime(s),AvgTime(s),FLOPS,Speedup,Error
3072,1024,3,1,64,2,2,0.012,0.000,3.824221e+10,2.375172e+01,4.551183e-07
3072,1024,3,1,256,2,2,0.012,0.000,3.841430e+10,2.385860e+01,4.551183e-07
3072,1024,3,1,576,2,2,0.012,0.001,3.230072e+10,2.006154e+01,4.551183e-07
3072,1024,3,1,1024,2,2,0.012,0.001,3.540962e+10,2.199244e+01,4.551183e-07
3072,1024,6,1,64,2,2,0.014,0.000,7.926177e+10,2.902816e+01,4.539265e-07
3072,1024,6,1,256,2,2,0.014,0.000,7.607764e+10,2.786203e+01,4.539265e-07
3072,1024,6,1,576,2,2,0.014,0.001,6.438973e+10,2.358155e+01,4.539265e-07
3072,1024,6,1,1024,2,2,0.014,0.001,7.028387e+10,2.574017e+01,4.539265e-07
3072,1024,8,1,64,2,2,0.012,0.000,1.057210e+11,2.456964e+01,4.533937e-07
3072,1024,8,1,256,2,2,0.012,0.000,1.103013e+11,2.563412e+01,4.533937e-07
3072,1024,8,1,576,2,2,0.012,0.001,9.515594e+10,2.211432e+01,4.533937e-07
3072,1024,8,1,1024,2,2,0.012,0.001,9.692893e+10,2.252636e+01,4.533937e-07
3072,1024,20,1,64,2,2,0.018,0.001,1.965531e+11,2.842315e+01,4.535934e-07
3072,1024,20,1,256,2,2,0.018,0.001,2.077181e+11,3.003770e+01,4.535934e-07
3072,1024,20,1,576,2,2,0.018,0.001,2.030340e+11,2.936035e+01,4.535934e-07
3072,1024,20,1,1024,2,2,0.018,0.001,2.320528e+11,3.355669e+01,4.535934e-07
3072,1024,32,1,64,2,2,0.025,0.001,2.794823e+11,3.409859e+01,4.539694e-07
3072,1024,32,1,256,2,2,0.025,0.001,3.533708e+11,4.311345e+01,4.539694e-07
3072,1024,32,1,576,2,2,0.025,0.001,2.810356e+11,3.428810e+01,4.539694e-07
3072,1024,32,1,1024,2,2,0.025,0.001,3.851870e+11,4.699522e+01,4.539694e-07
6144,2048,3,1,64,2,2,0.047,0.001,1.005592e+11,6.229480e+01,6.386387e-07
6144,2048,3,1,256,2,2,0.047,0.001,8.785510e+10,5.442483e+01,6.386387e-07
6144,2048,3,1,576,2,2,0.047,0.001,7.269119e+10,4.503103e+01,6.386387e-07
6144,2048,3,1,1024,2,2,0.047,0.001,7.258127e+10,4.496294e+01,6.386387e-07
6144,2048,6,1,64,2,2,0.055,0.001,2.060787e+11,7.530836e+01,6.357543e-07
6144,2048,6,1,256,2,2,0.055,0.001,1.787521e+11,6.532230e+01,6.357543e-07
6144,2048,6,1,576,2,2,0.055,0.001,1.475440e+11,5.391774e+01,6.357543e-07
6144,2048,6,1,1024,2,2,0.055,0.001,1.492634e+11,5.454609e+01,6.357543e-07
6144,2048,8,1,64,2,2,0.047,0.001,2.676731e+11,6.213072e+01,6.383558e-07
6144,2048,8,1,256,2,2,0.047,0.001,2.442281e+11,5.668881e+01,6.383558e-07
6144,2048,8,1,576,2,2,0.047,0.001,2.005389e+11,4.654793e+01,6.383558e-07
6144,2048,8,1,1024,2,2,0.047,0.001,1.945750e+11,4.516362e+01,6.383558e-07
6144,2048,20,1,64,2,2,0.073,0.001,3.596116e+11,5.205217e+01,6.380229e-07
6144,2048,20,1,256,2,2,0.073,0.001,3.953034e+11,5.721840e+01,6.380229e-07
6144,2048,20,1,576,2,2,0.073,0.001,4.547983e+11,6.583002e+01,6.380229e-07
6144,2048,20,1,1024,2,2,0.073,0.001,4.831441e+11,6.993295e+01,6.380229e-07
6144,2048,32,1,64,2,2,0.098,0.002,4.605877e+11,5.630757e+01,6.359689e-07
6144,2048,32,1,256,2,2,0.098,0.001,6.166890e+11,7.539119e+01,6.359689e-07
6144,2048,32,1,576,2,2,0.098,0.002,4.718447e+11,5.768376e+01,6.359689e-07
6144,2048,32,1,1024,2,2,0.098,0.001,7.628362e+11,9.325793e+01,6.359689e-07
12288,4096,3,1,64,2,2,0.176,0.002,1.662824e+11,9.694024e+01,9.006647e-07
12288,4096,3,1,256,2,2,0.176,0.002,1.306462e+11,7.616489e+01,9.006647e-07
12288,4096,3,1,576,2,2,0.176,0.003,1.009460e+11,5.885009e+01,9.006647e-07
12288,4096,3,1,1024,2,2,0.176,0.003,1.010099e+11,5.888731e+01,9.006647e-07
12288,4096,6,1,64,2,2,0.217,0.002,3.333189e+11,1.196174e+02,8.946110e-07
12288,4096,6,1,256,2,2,0.217,0.002,2.604919e+11,9.348211e+01,8.946110e-07
12288,4096,6,1,576,2,2,0.217,0.003,2.008465e+11,7.207731e+01,8.946110e-07
12288,4096,6,1,1024,2,2,0.217,0.003,2.003292e+11,7.189165e+01,8.946110e-07
12288,4096,8,1,64,2,2,0.186,0.002,4.434970e+11,1.025080e+02,8.928272e-07
12288,4096,8,1,256,2,2,0.186,0.002,3.499392e+11,8.088344e+01,8.928272e-07
12288,4096,8,1,576,2,2,0.186,0.003,2.681305e+11,6.197453e+01,8.928272e-07
12288,4096,8,1,1024,2,2,0.186,0.003,2.658510e+11,6.144764e+01,8.928272e-07
