M,N,K,Kernel,Threads,PR,PC,SerialTime(s),AvgTime(s),FLOPS,Speedup,Error
1024,2048,3,1,64,2,2,0.008,0.000,2.527948e+10,1.565486e+01,6.283035e-07
1024,2048,3,1,256,2,2,0.008,0.000,2.663164e+10,1.649221e+01,6.283035e-07
1024,2048,3,1,576,2,2,0.008,0.001,2.502376e+10,1.549650e+01,6.283035e-07
1024,2048,3,1,1024,2,2,0.008,0.001,1.930125e+10,1.195271e+01,6.283035e-07
1024,2048,6,1,64,2,2,0.009,0.000,5.257557e+10,1.921109e+01,6.324624e-07
1024,2048,6,1,256,2,2,0.009,0.000,5.107628e+10,1.866325e+01,6.324624e-07
1024,2048,6,1,576,2,2,0.009,0.001,4.655870e+10,1.701253e+01,6.324624e-07
1024,2048,6,1,1024,2,2,0.009,0.001,3.744313e+10,1.368170e+01,6.324624e-07
1024,2048,8,1,64,2,2,0.008,0.000,6.725917e+10,1.555635e+01,6.368518e-07
1024,2048,8,1,256,2,2,0.008,0.000,7.083537e+10,1.638349e+01,6.368518e-07
1024,2048,8,1,576,2,2,0.008,0.001,5.999338e+10,1.387585e+01,6.368518e-07
1024,2048,8,1,1024,2,2,0.008,0.001,5.125215e+10,1.185409e+01,6.368518e-07
1024,2048,20,1,64,2,2,0.012,0.001,1.675481e+11,2.422801e+01,6.339948e-07
1024,2048,20,1,256,2,2,0.012,0.001,1.483239e+11,2.144813e+01,6.339948e-07
1024,2048,20,1,576,2,2,0.012,0.001,1.527972e+11,2.209499e+01,6.339948e-07
1024,2048,20,1,1024,2,2,0.012,0.001,1.242657e+11,1.796923e+01,6.339948e-07
1024,2048,32,1,64,2,2,0.016,0.001,2.188068e+11,2.676854e+01,6.381853e-07
1024,2048,32,1,256,2,2,0.016,0.001,2.459777e+11,3.009259e+01,6.381853e-07
1024,2048,32,1,576,2,2,0.016,0.001,2.428345e+11,2.970805e+01,6.381853e-07
1024,2048,32,1,1024,2,2,0.016,0.001,2.102056e+11,2.571627e+01,6.381853e-07
2048,4096,3,1,64,2,2,0.031,0.001,7.605075e+10,4.701142e+01,9.036971e-07
2048,4096,3,1,256,2,2,0.031,0.001,6.200597e+10,3.832952e+01,9.036971e-07
2048,4096,3,1,576,2,2,0.031,0.001,6.254643e+10,3.866361e+01,9.036971e-07
2048,4096,3,1,1024,2,2,0.031,0.001,4.883932e+10,3.019044e+01,9.036971e-07
2048,4096,6,1,64,2,2,0.037,0.001,1.481753e+11,5.411054e+01,8.901590e-07
2048,4096,6,1,256,2,2,0.037,0.001,1.239466e+11,4.526275e+01,8.901590e-07
2048,4096,6,1,576,2,2,0.037,0.001,1.223328e+11,4.467340e+01,8.901590e-07
2048,4096,6,1,1024,2,2,0.037,0.001,1.006039e+11,3.673846e+01,8.901590e-07
2048,4096,8,1,64,2,2,0.031,0.001,2.031018e+11,4.694535e+01,8.980727e-07
2048,4096,8,1,256,2,2,0.031,0.001,1.660257e+11,3.837550e+01,8.980727e-07
2048,4096,8,1,576,2,2,0.031,0.001,1.670461e+11,3.861137e+01,8.980727e-07
2048,4096,8,1,1024,2,2,0.031,0.001,1.293123e+11,2.988950e+01,8.980727e-07
2048,4096,20,1,64,2,2,0.048,0.001,3.200901e+11,4.625842e+01,8.919994e-07
2048,4096,20,1,256,2,2,0.048,0.001,3.090085e+11,4.465694e+01,8.919994e-07
